fecha_consulta,origen,destino,region,fecha_vuelo,precio_min
2026-09-10 00:28:55.469657,NYC,CUN,América,2026-10-10,226
2026-09-10 00:29:00.468636,NYC,CUN,América,2026-11-09,153
2026-09-10 00:29:05.569440,NYC,CUN,América,2026-12-09,153
2026-09-10 00:29:08.950154,NYC,CUN,América,2027-01-08,178
2026-09-10 00:29:17.513956,NYC,PUJ,América,2026-11-09,162
2026-09-10 00:29:21.115218,NYC,PUJ,América,2026-12-09,183
2026-09-10 00:29:24.707104,NYC,PUJ,América,2027-01-08,174
2026-09-10 00:29:29.705382,NYC,RIO,América,2026-10-10,281
2026-09-10 00:29:38.603393,NYC,RIO,América,2026-12-09,414
2026-09-10 00:29:44.028100,NYC,RIO,América,2027-01-08,496
2026-09-10 00:29:47.327505,NYC,GRU,América,2026-10-10,379
2026-09-10 00:29:53.255954,NYC,GRU,América,2026-11-09,531
2026-09-10 00:29:58.162539,NYC,GRU,América,2026-12-09,276
2026-09-10 00:30:03.056471,NYC,GRU,América,2027-01-08,485
2026-09-10 00:30:07.937059,NYC,SCL,América,2026-10-10,624
2026-09-10 00:30:11.256206,NYC,SCL,América,2026-11-09,465
2026-09-10 00:30:16.046675,NYC,SCL,América,2026-12-09,569
2026-09-10 00:30:20.821971,NYC,SCL,América,2027-01-08,465
2026-09-10 00:30:24.291333,NYC,LIM,América,2026-10-10,482
2026-09-10 00:30:27.580538,NYC,LIM,América,2026-11-09,453
2026-09-10 00:30:30.883752,NYC,LIM,América,2026-12-09,234
2026-09-10 00:30:35.974703,NYC,LIM,América,2027-01-08,163
2026-09-10 00:30:39.101369,NYC,BOG,América,2026-10-10,407
2026-09-10 00:30:48.352463,NYC,BOG,América,2026-12-09,318
2026-09-10 00:30:53.366073,NYC,BOG,América,2027-01-08,296
2026-09-10 00:31:00.081844,NYC,MEX,América,2026-11-09,283
2026-09-10 00:31:04.846969,NYC,MEX,América,2026-12-09,283
2026-09-10 00:31:12.969957,NYC,MAD,Europa,2026-10-10,298
2026-09-10 00:31:17.919891,NYC,MAD,Europa,2026-11-09,292
2026-09-10 00:31:22.647067,NYC,MAD,Europa,2026-12-09,217
2026-09-10 00:31:27.356964,NYC,MAD,Europa,2027-01-08,272
2026-09-10 00:31:32.400983,NYC,BCN,Europa,2026-10-10,265
2026-09-10 00:31:37.351814,NYC,BCN,Europa,2026-11-09,292
2026-09-10 00:31:42.718447,NYC,BCN,Europa,2026-12-09,217
2026-09-10 00:31:47.445066,NYC,BCN,Europa,2027-01-08,270
2026-09-10 00:31:50.806542,NYC,LIS,Europa,2026-10-10,322
2026-09-10 00:31:55.995584,NYC,LIS,Europa,2026-11-09,342
2026-09-10 00:31:59.146554,NYC,LIS,Europa,2026-12-09,326
2026-09-10 00:32:04.355160,NYC,LIS,Europa,2027-01-08,331
2026-09-10 00:32:07.904147,NYC,ROM,Europa,2026-10-10,327
2026-09-10 00:32:12.723867,NYC,ROM,Europa,2026-11-09,254
2026-09-10 00:32:16.929508,NYC,ROM,Europa,2026-12-09,226
2026-09-10 00:32:20.291901,NYC,ROM,Europa,2027-01-08,239
2026-09-10 00:32:32.739561,NYC,PAR,Europa,2026-12-09,233
2026-09-10 00:32:36.029184,NYC,PAR,Europa,2027-01-08,222
2026-09-10 00:32:39.723430,NYC,LON,Europa,2026-10-10,270
2026-09-10 00:32:43.409304,NYC,LON,Europa,2026-11-09,239
2026-09-10 00:32:47.031692,NYC,LON,Europa,2026-12-09,197
2026-09-10 00:32:52.772894,NYC,LON,Europa,2027-01-08,197
2026-09-10 00:32:57.659133,NYC,AMS,Europa,2026-10-10,344
2026-09-10 00:33:00.889582,NYC,AMS,Europa,2026-11-09,301
2026-09-10 00:33:03.900300,NYC,AMS,Europa,2026-12-09,217
2026-09-10 00:33:08.503281,NYC,AMS,Europa,2027-01-08,267
2026-09-10 00:33:11.946471,NYC,FRA,Europa,2026-10-10,400
2026-09-10 00:33:16.926769,NYC,FRA,Europa,2026-11-09,381
2026-09-10 00:33:20.313462,NYC,FRA,Europa,2026-12-09,381
2026-09-10 00:33:24.951836,NYC,FRA,Europa,2027-01-08,401
2026-09-10 00:33:30.029901,NYC,IST,Europa,2026-10-10,440
2026-09-10 00:33:34.982341,NYC,IST,Europa,2026-11-09,511
2026-09-10 00:33:40.081753,NYC,IST,Europa,2026-12-09,340
